"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021953","GO:0021953","central nervous system neuron differentiation","7/78","181/18870",9.89964721549305e-06,0.00866115228235215,0.00754161475624659,"OTP/PHOX2B/DLX1/GSX1/RORA/TBR1/GRID2",7
"GO:0048663","GO:0048663","neuron fate commitment","5/78","73/18870",1.27794861663401e-05,0.00866115228235215,0.00754161475624659,"TLX3/DLX1/GSX1/NFIA/TBR1",5
"GO:0007623","GO:0007623","circadian rhythm","7/78","204/18870",2.14880455631168e-05,0.00866115228235215,0.00754161475624659,"HNRNPD/KDM2A/EP300/RORA/BTRC/EGR3/ZFHX3",7
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","7/78","208/18870",2.43437366587204e-05,0.00866115228235215,0.00754161475624659,"HNRNPD/IGF2BP3/EP300/TAF15/FUS/LRPPRC/TAB2",7
"GO:1902369","GO:1902369","negative regulation of RNA catabolic process","5/78","87/18870",3.00525755806806e-05,0.00866115228235215,0.00754161475624659,"HNRNPD/IGF2BP3/TAF15/FUS/LRPPRC",5
"GO:0030902","GO:0030902","hindbrain development","6/78","157/18870",4.72404407283941e-05,0.0113455791816026,0.00987905356986768,"HNRNPD/NEUROD2/PHOX2B/RORA/TBR1/GRID2",6
"GO:0042752","GO:0042752","regulation of circadian rhythm","5/78","114/18870",0.000109474841661708,0.0197956933417111,0.0172369089180172,"HNRNPD/KDM2A/RORA/BTRC/ZFHX3",5
"GO:0021533","GO:0021533","cell differentiation in hindbrain","3/78","23/18870",0.000113363974131884,0.0197956933417111,0.0172369089180172,"PHOX2B/RORA/GRID2",3
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","8/78","362/18870",0.000123637224202221,0.0197956933417111,0.0172369089180172,"HNRNPD/IGF2BP3/CELF6/TAF15/RBFOX2/FUS/CNOT1/MIR212",8
"GO:0048255","GO:0048255","mRNA stabilization","4/78","65/18870",0.000151038623139827,0.0199494479775888,0.0173707892832359,"HNRNPD/IGF2BP3/TAF15/FUS",4
"GO:0008380","GO:0008380","RNA splicing","9/78","478/18870",0.000154262106421597,0.0199494479775888,0.0173707892832359,"SRSF11/CELF6/TAF15/CLK2/RBFOX2/FUS/ACIN1/SREK1/HNRNPH3",9
"GO:0045664","GO:0045664","regulation of neuron differentiation","6/78","198/18870",0.000169669279334207,0.0199494479775888,0.0173707892832359,"BDNF/NEUROD2/PHOX2B/TLX3/DLX1/ZFHX3",6
"GO:0045165","GO:0045165","cell fate commitment","7/78","286/18870",0.00017997420104695,0.0199494479775888,0.0173707892832359,"TLX3/DLX1/GSX1/TBX18/NFIA/MITF/TBR1",7
"GO:0048511","GO:0048511","rhythmic process","7/78","296/18870",0.000222076434715238,0.0228580101731898,0.0199033917428995,"HNRNPD/KDM2A/EP300/RORA/BTRC/EGR3/ZFHX3",7
"GO:0043489","GO:0043489","RNA stabilization","4/78","74/18870",0.000249572148616745,0.0236693764408614,0.0206098810895261,"HNRNPD/IGF2BP3/TAF15/FUS",4
"GO:1902373","GO:1902373","negative regulation of mRNA catabolic process","4/78","75/18870",0.000262810564228856,0.0236693764408614,0.0206098810895261,"HNRNPD/IGF2BP3/TAF15/FUS",4
"GO:0043488","GO:0043488","regulation of mRNA stability","6/78","235/18870",0.000425543430404911,0.0360710637184398,0.0314085305908764,"HNRNPD/IGF2BP3/TAF15/FUS/CNOT1/MIR212",6
"GO:0043487","GO:0043487","regulation of RNA stability","6/78","247/18870",0.000553507864819192,0.0443042112168054,0.0385774643123796,"HNRNPD/IGF2BP3/TAF15/FUS/CNOT1/MIR212",6
"GO:0009895","GO:0009895","negative regulation of catabolic process","7/78","349/18870",0.000597497988110202,0.0443042112168054,0.0385774643123796,"HNRNPD/IGF2BP3/EP300/TAF15/FUS/LRPPRC/TAB2",7
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","6/78","252/18870",0.000614909246589944,0.0443042112168054,0.0385774643123796,"HNRNPD/IGF2BP3/TAF15/FUS/CNOT1/MIR212",6
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","4/78","99/18870",0.000755246983003292,0.0474050462938397,0.0412774865278184,"HNRNPD/IGF2BP3/TAF15/FUS",4
"GO:0021879","GO:0021879","forebrain neuron differentiation","3/78","44/18870",0.000796479756146442,0.0474050462938397,0.0412774865278184,"OTP/DLX1/TBR1",3
"GO:0006401","GO:0006401","RNA catabolic process","7/78","367/18870",0.00080324092909701,0.0474050462938397,0.0412774865278184,"HNRNPD/IGF2BP3/TAF15/FUS/LRPPRC/CNOT1/MIR212",7
"GO:0003357","GO:0003357","noradrenergic neuron differentiation","2/78","11/18870",0.000905585893634876,0.0474050462938397,0.0412774865278184,"PHOX2B/SOX4",2
"GO:0046643","GO:0046643","regulation of gamma-delta T cell activation","2/78","11/18870",0.000905585893634876,0.0474050462938397,0.0412774865278184,"SOX4/EGR3",2
"GO:0070934","GO:0070934","CRD-mediated mRNA stabilization","2/78","11/18870",0.000905585893634876,0.0474050462938397,0.0412774865278184,"HNRNPD/IGF2BP3",2
"GO:0021549","GO:0021549","cerebellum development","4/78","104/18870",0.000908267258108705,0.0474050462938397,0.0412774865278184,"HNRNPD/NEUROD2/RORA/GRID2",4
"GO:0043484","GO:0043484","regulation of RNA splicing","5/78","181/18870",0.000921125118825477,0.0474050462938397,0.0412774865278184,"CELF6/CLK2/RBFOX2/FUS/HNRNPH3",5
